Fold,Cutpoints,SVM_Test_Accuracy,CART_Test_Accuracy
1,20,0.7272727272727273,0.7142857142857143
2,54,0.7662337662337663,0.7272727272727273
3,28,0.7142857142857143,0.7662337662337663
4,29,0.7532467532467533,0.6883116883116883
5,37,0.7532467532467533,0.7532467532467533
6,14,0.7662337662337663,0.7532467532467533
7,80,0.7922077922077922,0.7792207792207793
8,64,0.7922077922077922,0.7792207792207793
9,82,0.8289473684210527,0.7368421052631579
10,40,0.7368421052631579,0.7368421052631579
