Fold,Cutpoints,SVM_Test_Accuracy,CART_Test_Accuracy
1,346,0.7727272727272727,0.7727272727272727
2,206,0.8571428571428571,0.9047619047619048
3,155,0.9047619047619048,0.9047619047619048
4,181,0.9523809523809523,0.8571428571428571
5,208,0.9523809523809523,0.7619047619047619
6,167,0.9047619047619048,0.8095238095238095
7,104,0.8095238095238095,0.6666666666666666
8,321,0.9,0.7
9,301,0.8,0.65
10,328,0.85,0.75
