Fold,Cutpoints,SVM_Test_Accuracy,CART_Test_Accuracy
1,52,0.5652173913043478,0.5217391304347826
2,26,0.43478260869565216,0.4782608695652174
3,19,0.5652173913043478,0.4782608695652174
4,88,0.7272727272727273,0.7727272727272727
5,59,0.6363636363636364,0.6818181818181818
6,45,0.5909090909090909,0.7272727272727273
7,59,0.6666666666666666,0.6666666666666666
8,73,0.7,0.75
9,56,0.75,0.75
10,63,0.6111111111111112,0.6666666666666666
