Fold,Cutpoints,SVM_Test_Accuracy,CART_Test_Accuracy
1,6,0.7272727272727273,0.696969696969697
2,7,0.7741935483870968,0.6774193548387096
3,7,0.7419354838709677,0.7419354838709677
4,7,0.7419354838709677,0.7096774193548387
5,9,0.7666666666666667,0.7666666666666667
6,7,0.7333333333333333,0.7666666666666667
7,6,0.7333333333333333,0.6666666666666666
8,15,0.7333333333333333,0.7
9,17,0.7,0.8
10,14,0.7666666666666667,0.7666666666666667
