Fold,Cutpoints,SVM_Test_Accuracy,CART_Test_Accuracy
1,81,0.75,0.75
2,25,0.8181818181818182,0.8181818181818182
3,71,0.8181818181818182,0.8181818181818182
4,66,0.9090909090909091,0.9090909090909091
5,53,0.8181818181818182,0.8181818181818182
6,49,0.9,0.9
7,44,0.8,0.8
8,61,1.0,0.8
9,60,0.9,0.9
10,59,0.9,0.8
