Fold,Cutpoints,SVM_Test_Accuracy,CART_Test_Accuracy
1,51,0.5228758169934641,0.5032679738562091
2,39,0.5986842105263158,0.5526315789473685
3,48,0.5526315789473685,0.5263157894736842
4,33,0.5666666666666667,0.5533333333333333
5,75,0.6148648648648649,0.5743243243243243
6,29,0.6095890410958904,0.5753424657534246
7,21,0.589041095890411,0.5684931506849316
8,32,0.6712328767123288,0.6643835616438356
9,32,0.6712328767123288,0.6095890410958904
10,35,0.6137931034482759,0.6275862068965518
